price,area,district,ward,has_air_conditioner,has_kitchen,has_fridge,has_wardrobe,has_bed,has_mattress,has_sofa,is_full_furniture,is_duplex,has_window,has_camera,has_security,is_free_time,near_school,near_market,near_supermarket,has_wifi,has_parking,has_balcony,washing_machine_type,wc_type,lock_type,water_type,area_group,price_per_sqm,amenity_score,location_score,has_private_facilities,security_score,log_price
3500000.0,25.0,tân phú,tân quý,True,False,True,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,unknown,unknown,unknown,unknown,west,140000.0,3,2,0,1,15.068273812173887
2800000.0,18.0,gò vấp,3,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,unknown,unknown,unknown,unknown,outer,155555.55555555556,4,0,0,1,14.845130332288226
2500000.0,20.0,gò vấp,16,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,True,False,False,False,unknown,unknown,unknown,unknown,outer,125000.0,2,2,0,2,14.731801689838349
2500000.0,20.0,7,tân hưng,True,False,False,True,True,True,False,False,False,False,False,True,True,True,False,True,True,True,False,unknown,unknown,unknown,unknown,south,125000.0,7,2,0,1,14.731801689838349
2100000.0,15.5,7,tân hưng,True,False,False,True,True,True,False,False,False,False,False,True,True,True,False,True,True,True,False,unknown,unknown,unknown,unknown,south,135483.87096774194,7,2,0,1,14.557448378884015
1400000.0,20.0,tân bình,2,True,True,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,share,private,unknown,unknown,near_center,70000.0,6,1,0,1,14.151983508870947
2200000.0,25.0,gò vấp,12,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,True,True,False,unknown,unknown,unknown,bottle,outer,88000.0,4,1,0,2,14.603968372873895
5000000.0,35.0,tân bình,4,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,share,private,unknown,unknown,near_center,142857.14285714287,0,1,0,0,15.424948670398354
1800000.0,25.0,1,nguyễn cư trinh,True,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,unknown,unknown,unknown,bottle,center,72000.0,6,0,0,0,14.403297778421795
2500000.0,35.0,12,thạnh xuân,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,unknown,unknown,unknown,unknown,east,71428.57142857143,1,1,0,0,14.731801689838349
2600000.0,15.0,tân phú,tân quý,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,unknown,share,unknown,unknown,west,173333.33333333334,1,0,0,1,14.77102238760702
1500000.0,18.0,tân phú,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,unknown,unknown,unknown,bottle,west,83333.33333333333,0,0,0,0,14.220976332738882
4500000.0,35.0,tân bình,13,True,True,True,True,False,False,True,False,True,True,True,True,False,False,False,True,True,False,False,share,share,unknown,unknown,near_center,128571.42857142857,9,1,0,2,15.319588176962746
3800000.0,25.0,tân bình,15,False,True,True,True,True,True,False,True,True,True,True,False,True,False,False,False,True,False,True,share,share,unknown,bottle,near_center,152000.0,9,0,0,1,15.150511887854474
3200000.0,20.0,tân bình,15,False,True,False,True,False,False,False,True,True,True,True,False,True,True,False,False,True,False,True,share,share,unknown,bottle,near_center,160000.0,6,1,0,1,14.978661680269907
2500000.0,16.0,9,,False,True,False,False,False,False,False,False,True,False,True,True,True,True,False,False,False,True,False,unknown,private,fingerprint,unknown,east,156250.0,4,1,0,3,14.731801689838349
5500000.0,30.0,gò vấp,1,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,unknown,unknown,fingerprint,unknown,outer,183333.33333333334,2,1,0,2,15.520258832020865
3800000.0,20.0,tân phú,tây thạnh,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,unknown,unknown,unknown,unknown,west,190000.0,2,2,0,1,15.150511887854474
4000000.0,25.0,tân bình,4,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,unknown,unknown,unknown,unknown,near_center,160000.0,0,0,0,0,15.201805169084134
4600000.0,20.0,phú nhuận,9,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,unknown,unknown,unknown,unknown,near_center,230000.0,1,0,0,0,15.341567078850604
3500000.0,25.0,bình thạnh,5,True,True,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,share,unknown,unknown,unknown,near_center,140000.0,6,0,0,0,15.068273812173887
5800000.0,45.0,5,10,True,True,False,False,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,share,unknown,unknown,unknown,center,128888.88888888889,5,1,0,1,15.573368647930426
3600000.0,17.0,phú nhuận,5,True,True,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,share,unknown,unknown,unknown,near_center,211764.70588235295,7,0,0,1,15.096444681204078
2500000.0,20.0,thủ đức,cát lái,False,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,True,False,share,unknown,fingerprint,bottle,east,125000.0,5,1,0,3,14.731801689838349
3000000.0,24.0,7,tân hưng,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,True,False,False,unknown,unknown,unknown,unknown,south,125000.0,2,2,0,1,14.914123179965662
2700000.0,20.0,bình tân,bình hưng hòa b,True,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,share,unknown,unknown,unknown,west,135000.0,5,1,0,0,14.80876270134486
3000000.0,25.0,8,5,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,share,unknown,fingerprint,unknown,south,120000.0,2,1,0,1,14.914123179965662
3200000.0,30.0,phú nhuận,7,True,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,True,True,False,unknown,private,unknown,unknown,near_center,106666.66666666667,6,0,0,2,14.978661680269907
5500000.0,25.0,1,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,unknown,unknown,unknown,unknown,center,220000.0,0,0,0,0,15.520258832020865
6000000.0,25.0,1,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,unknown,unknown,unknown,unknown,center,240000.0,0,0,0,0,15.607270193858982
1800000.0,12.0,bình thạnh,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,unknown,unknown,unknown,bottle,near_center,150000.0,2,1,0,0,14.403297778421795
3400000.0,17.5,bình thạnh,17,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,True,False,unknown,unknown,unknown,bottle,near_center,194285.7142857143,5,1,0,2,15.039286283703994
3200000.0,15.0,bình thạnh,12,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,unknown,unknown,unknown,bottle,near_center,213333.33333333334,4,0,0,1,14.978661680269907
5150000.0,40.0,1,bến nghé,True,True,True,True,True,False,False,True,False,True,True,True,True,False,True,True,True,False,False,unknown,private,fingerprint,bottle,center,128750.0,9,2,0,3,15.454507466814658
